Date,Category,Headline,Description,Content,URL
2025-05-22,business,"Freddie Mac, Fannie Mae Stocks Soar as Trump Suggests Taking Them “Public.” It May Not Happen Quickly. - Barron's",,No content available,https://www.barrons.com/articles/freddie-mac-fannie-mae-stock-soars-trump-suggests-public-government-control-269641ff
2025-05-22,business,House passes more bruising budget bill for solar industry - Solar Power World,The House of Representatives passed a budget bill with last-minute amendments early Thursday morning that could spell doom for residential solar and,The House of Representatives passed a budget bill with last-minute amendments early Thursday morning that could spell doom for residential solar and significantly hamper large-scale solar. Changes fr… [+4074 chars],https://www.solarpowerworldonline.com/2025/05/house-passes-more-bruising-budget-bill-for-solar-industry/
2025-05-22,business,Mortgage rates climb to highest level in more than three months amid bond market unrest - CNN,"Mortgage rates are inching back toward 7%, highlighting the ongoing strain on US home buyers.","Mortgage rates are inching back toward 7%, highlighting the ongoing strain on US home buyers.
The average rate on a standard, 30-year fixed mortgage was 6.86% in the week ending May 22, the highest … [+2126 chars]",https://www.cnn.com/2025/05/22/economy/us-mortgage-rates-bond-market
2025-05-22,business,Apple iPhone designer Sir Jony Ive joins ChatGPT-maker OpenAI - BBC,"The man who designed the iPad, iMac and iPhone will try to come up with a new generation of products for the AI era.","Graham Fraser
Sir Jony Ive, the hugely influential British designer responsible for the look of Apple's most iconic and successful products, is joining OpenAI.
Boss Sam Altman said he was ""thrilled… [+4297 chars]",https://www.bbc.com/news/articles/c5y66yemjdmo
2025-05-22,business,"Amazon-backed Anthropic debuts its most powerful AI model yet, which can work for 7 hours straight - CNBC","Anthropic, the Amazon-backed OpenAI rival, on Thursday launched its most powerful group of AI models yet: Claude 4.","Anthropic, the Amazon-backed OpenAI rival, on Thursday launched its most powerful group of artificial intelligence models yet: Claude 4.
The company said the two models, called Claude Opus 4 and Cla… [+3461 chars]",https://www.cnbc.com/2025/05/22/claude-4-opus-sonnet-anthropic.html
2025-05-22,business,Best Casino Welcome Bonuses 2025: Decode Casino Rated Best Online Casino Bonus - GlobeNewswire,"500% Match Bonus & 50 Free Spins Redefine Player-Friendly Promotions with Transparency, Variety, and Seamless Onboarding......","Columbus, May 22, 2025 (GLOBE NEWSWIRE) -- 
Decode Casino has emerged as the leading contender for the best welcome bonuses in 2025. This accolade is due to its combination of unmatched generosity, … [+8231 chars]",https://www.globenewswire.com/news-release/2025/05/22/3086919/0/en/Best-Casino-Welcome-Bonuses-2025-Decode-Casino-Rated-Best-Online-Casino-Bonus.html
2025-05-22,business,"Antitrust Cops Say BlackRock, Other Fund Giants May Have Hurt Coal Competition - WSJ",,No content available,https://www.wsj.com/politics/policy/antitrust-cops-say-blackrock-other-fund-giants-may-have-harmed-energy-competition-c6052082
2025-05-22,business,US Mint moves forward with plans to kill the penny - AP News,The U.S. Mint has made its final order of penny blanks and plans to stop producing the coin when those run out. That word comes from a Treasury Department official who wasn't authorized to discuss the matter publicly and spoke on condition of anonymity to pre…,"WASHINGTON (AP) The U.S. Mint has made its final order of penny blanks and plans to stop producing the coin when those run out, a Treasury Department official confirmed Thursday. 
An immediate annua… [+1913 chars]",https://apnews.com/article/us-mint-treasury-department-penny-end-production-daf6367d7e8d31d6783720d5d4667115
2025-05-22,business,Watch These UnitedHealth Price Levels as Stock Extends Slide - Investopedia,"UnitedHealth shares slid in recent trading Thursday after tumbling Wednesday amid worries about potential cuts to Medicare, and a report accusing the insurer of paying secret bonuses to nursing homes. Monitor these key support and resistance levels.","<ul><li>UnitedHealth Group shares slid in recent trading Thursday after tumbling Wednesday amid worries about potential cuts to Medicare, and a report accusing the company of paying secret bonuses to… [+3412 chars]",https://www.investopedia.com/watch-these-unitedhealth-price-levels-as-stock-extends-slide-11739834
2025-05-22,business,Cucumber recall linked to salmonella outbreak sickening dozens across 15 states — including NY - New York Post,The cucumber recall has been linked to a salmonella outbreak recording at least 26 illnesses and nine hospitalizations across more than a dozen states.,"The FDA and CDC are investigating a cucumber recall linked to a nationwide salmonella outbreak that has sickened at least 26 individuals, the agencies said this week.
Cucumbers grown by Bedner Growe… [+2182 chars]",https://nypost.com/2025/05/22/business/cucumber-recall-linked-to-nationwide-salmonella-outbreak/
2025-05-22,business,"Southwest Airlines Bans Using Portable Chargers Inside Carry-On Luggage, Citing Fire Risk - Forbes","Citing safety concerns, Southwest Airlines will no longer allow passengers to charge devices with a power bank stowed inside a carry-on bag—going further than current FAA guidance.",Southwest Airlines is the first U.S. airline to ban passengers from charging devices with a power bank inside a carry-on bag due to the risk of a chargers lithium battery overheating or catching fire… [+2792 chars],https://www.forbes.com/sites/suzannerowankelleher/2025/05/22/southwest-airlines-bans-charging-devices-inside-carry-on-bags-heres-why/
2025-05-22,business,"Humana, UnitedHealth Stocks Fall. It’s All About a Medicare Crackdown. - Barron's",,No content available,https://www.barrons.com/articles/humana-unitedhealth-stock-falls-medicare-crackdown-49a6c3c6
2025-05-22,business,Nike to raise US prices as firms face tariffs uncertainty - BBC,"The US sportswear giant says its price increases are part of ""seasonal planning"".","Annabelle Liang &amp; Dearbail JordanBusiness reporters, BBC News
Nike is set to raise prices on some trainers and clothing in the US from early June, weeks after rival Adidas warned it would have t… [+4634 chars]",https://www.bbc.com/news/articles/c3315er3gygo
2025-05-22,business,April home sales dropped to the slowest pace for that month since 2009 - CNBC,"Home sales in April dropped, as consumers faced high home prices and growing concern over the economy and employment.","The spring housing market continues to struggle amid high interest rates and low consumer confidence.
Sales of previously owned homes in April fell 0.5% from March to a seasonally adjusted, annualiz… [+2284 chars]",https://www.cnbc.com/2025/05/22/april-home-sales-real-estate.html
2025-05-22,business,Bitcoin Price Surges Into Uncharted Territory. The Next Catalysts for the Crypto. - Barron's,,No content available,https://www.barrons.com/articles/bitcoin-price-surges-xrp-record-high-2dca06c2
2025-05-22,business,Home Depot struggles to reverse concerning customer behavior - TheStreet,The home improvement retailer is suffering from a trend that continues to grow legs.,"Home Depot (HD) continues to experience a major consumer trend that has recently contributed to lower-than-expected sales.
In response, the company’s executives identified the reason behind the tren… [+4316 chars]",https://www.thestreet.com/retail/home-depot-struggles-to-reverse-concerning-customer-behavior
2025-05-22,business,How UnitedHealthcare became the face of America's health insurance frustrations - CNBC,"Experts say it's no surprise that UnitedHealthcare often ends up in the crosshairs of public and political scrutiny, as it's the nation's largest insurer.","Flags fly at half staff outside the United Healthcare corporate headquarters in Minnetonka, Minnesota, Dec. 4, 2024.
It took six months, countless hours on hold and intervention from state regulator… [+23144 chars]",https://www.cnbc.com/2025/05/22/unitedhealth-news-backlash-stock-price.html
2025-05-22,business,Walmart quietly working on genius solution to tariffs - TheStreet,The massive retail chain is already planning a way to work around higher prices.,"It may seem like smaller retailers are facing the greatest challenges right now. 
To be sure, many local or mom-and-pop shops are encountering a lot of pressure. 
But some of the largest retailers … [+3293 chars]",https://www.thestreet.com/retail/walmart-quietly-working-on-genius-solution-to-tariffs
2025-05-22,business,BYD Beats Tesla in Europe for First Time With 169% Sales Surge - Bloomberg.com,"BYD Co. sold more electric vehicles in Europe than Tesla Inc. for the first time, overtaking the American brand that long led the continent’s EV segment.","BYD Co. sold more electric vehicles in Europe than Tesla Inc. for the first time, overtaking the American brand that long led the continents EV segment.
Chinas top automaker registered 7,231 new bat… [+225 chars]",https://www.bloomberg.com/news/articles/2025-05-22/byd-beats-tesla-in-europe-for-first-time-with-169-sales-surge
2025-05-22,general,Sean 'Diddy' Combs trial live updates: Rapper Kid Cudi takes the stand in sex trafficking trial - Yahoo,"The 55-year-old hip-hop mogul has been charged by federal prosecutors with sex trafficking, racketeering conspiracy and transportation to engage in...","The trial of Sean Diddy Combs wrapped up its second week on Thursday in Manhattan federal court, where rapper Kid Cudi testified about his relationship with Combs's ex-girlfriend Cassie Ventura in th… [+2173 chars]",https://www.yahoo.com/news/live/sean-diddy-combs-trial-live-updates-kid-cudi-takes-the-stand-in-sex-trafficking-trial-165852826.html
2025-05-22,general,Trump administration blocks Harvard from enrolling international students: NYT report - CNBC,The Trump administration's move against Harvard University comes amid a battle with the Ivy League school over concerns about antisemitism on campus.,"The Trump administration on Thursday blocked the ability of Harvard University to enroll future international students and to retain its existing enrolled foreign students.
Department of Homeland Se… [+2990 chars]",https://www.cnbc.com/2025/05/22/trump-harvard-students-international.html
2025-05-22,general,Kim Jong Un’s fury after watching North Korea’s new navy destroyer crippled in botched launch - CNN,"North Korea’s newest warship was severely damaged during a launch ceremony Wednesday, with leader Kim Jong Un, who witnessed the accident, saying it brought shame to the nation’s prestige and vowing to punish those found responsible, state media reported.","North Koreas newest warship was severely damaged during a launch ceremony Wednesday, with leader Kim Jong Un, who witnessed the accident, saying it brought shame to the nations prestige and vowing to… [+4313 chars]",https://www.cnn.com/2025/05/22/asia/north-korea-destroyer-accident-intl-hnk-ml
2025-05-22,general,Google’s AI product names are confusing as hell - The Verge,"Google announced a slate of new AI products at I/O 2025, and we’re gonna need our own AI assistant to help us keep the names straight.","Just dont confuse Deep Think with DeepMind or Astra with Aura.
Just dont confuse Deep Think with DeepMind or Astra with Aura.
Google executives took the stage this week at I/O to unveil their lates… [+3738 chars]",https://www.theverge.com/tech/671116/google-ai-product-names-confusing-gemini-deepmind-astra
2025-05-22,general,"JoJo Siwa And Chris Hughes Seemingly Go Instagram Official, Nearly A Month After Public Breakup - BuzzFeed","""Heart is overflowing.""",No content available,https://www.buzzfeed.com/morganmurrell/jojo-siwa-chris-hughes-fuel-dating-rumors-with-new-pic
2025-05-22,general,Mortgage rates climb to highest level in more than three months amid bond market unrest - CNN,"Mortgage rates are inching back toward 7%, highlighting the ongoing strain on US home buyers.","Mortgage rates are inching back toward 7%, highlighting the ongoing strain on US home buyers.
The average rate on a standard, 30-year fixed mortgage was 6.86% in the week ending May 22, the highest … [+2126 chars]",https://www.cnn.com/2025/05/22/economy/us-mortgage-rates-bond-market
2025-05-22,general,'Multiple fatalities' after plane crash in San Diego neighbourhood - BBC,"Several homes were destroyed and cars caught fire after the private aircraft crashed, forcing the evacuation of 100 people.","Several people are believed to have died after a small plane crashed into a residential street in San Diego on Thursday morning.
No residents were seriously injured, but there was ""more than one fat… [+1771 chars]",https://www.bbc.com/news/articles/c0mr844xl42o
2025-05-22,general,UK agrees to hand the Chagos Islands to Mauritius in a deal it says protects a key US base - AP News,"British Prime Minister Keir Starmer says he has signed an agreement handing over sovereignty of the Chagos Islands to Mauritius. The archipelago in the Indian Ocean is home to a strategically important naval and bomber base on the largest of the islands, Dieg…","LONDON (AP) Britain signed an agreement Thursday to hand sovereignty over the contested Chagos Islands to Mauritius, a move the government says ensures the future of a U.S.-U.K. military base that is… [+5089 chars]",https://apnews.com/article/chagos-islands-britain-mauritius-handover-court-blocks-b6f02636c9bc858a06926090d1a8cb5c
2025-05-22,general,Apple iPhone designer Sir Jony Ive joins ChatGPT-maker OpenAI - BBC,"The man who designed the iPad, iMac and iPhone will try to come up with a new generation of products for the AI era.","Graham Fraser
Sir Jony Ive, the hugely influential British designer responsible for the look of Apple's most iconic and successful products, is joining OpenAI.
Boss Sam Altman said he was ""thrilled… [+4297 chars]",https://www.bbc.com/news/articles/c5y66yemjdmo
