Date,Category,Headline,Description,Content,URL
2025-05-23,business,Dow falls 300 points as Trump threatens new tariffs against the EU and Apple: Live updates - CNBC,"The S&P 500 closed near the flatline on Thursday, while the Dow Jones Industrial Average and Nasdaq Composite finished the session marginally lower.","Stocks declined Friday after President Donald Trump raised trade fears again, warning Apple  and recommending stiffer duties on the European Union.
The Dow Jones Industrial Average lost 236 points, … [+2659 chars]",https://www.cnbc.com/2025/05/22/stock-market-today-live-updates.html
2025-05-23,business,"Booz Allen to Cut 2,500 Jobs as Business Grapples With Trump Spending Crackdown - WSJ",,No content available,https://www.wsj.com/business/earnings/booz-allen-hamilton-revenue-outlook-below-estimates-96a293cc
2025-05-23,business,Insurance costs are soaring around Tornado Alley. Hail is the big problem. - NPR,"While tornadoes can obliterate communities, hailstorms cause damage across much larger areas.","The cost of homeowners insurance is soaring in states where large outbreaks of tornadoes
 are becoming more common. But it's hail not tornadoes that are the biggest concern for insurers in the middl… [+4935 chars]",https://www.npr.org/2025/05/23/nx-s1-5407522/insurance-tornadoes-hail-midwest
2025-05-23,business,Memorial Day Weekend travel could break records. Here's how to prepare for your trip - NPR,"AAA predicts a record-breaking 45.1 million Americans will travel between Thursday and Monday, mostly by car and plane. Here's what to know if you're one of them.","Memorial Day is reliably one of the busiest travel weekends in the U.S. and experts predict this year will set a new bar.
AAA projects 45.1 million people will travel at least 50 miles from home bet… [+4641 chars]",https://www.npr.org/2025/05/23/nx-s1-5408568/memorial-day-weekend-2025-travel
2025-05-23,business,"Who is Justin Sun, the Chinese billionaire at Trump’s crypto dinner? - The Washington Post","Sun, known for his showy publicity stunts, has spent more than $20 million on the $TRUMP meme coin, making him one of its largest holders.","Justin Sun, a Chinese crypto billionaire known for showy publicity stunts he once spent$6.24 million on a banana, duct-taped to a wall made perhaps his biggest splash yet on Thursday, when he reveled… [+1712 chars]",https://www.washingtonpost.com/world/2025/05/23/trump-crypto-dinner-justin-sun/
2025-05-23,business,Trump threatens Apple with a 25% tariff if it doesn’t build iPhones in America - CNN,President Donald Trump on Friday demanded Apple make its iPhones in the United States or face a 25% tariff.,"President Donald Trump on Friday demanded Apple make its iPhones in the United States or face a 25% tariff.
I have long ago informed Tim Cook of Apple that I expect their iPhones that will be sold i… [+6013 chars]",https://www.cnn.com/2025/05/23/economy/trump-threatens-tariff-apple
2025-05-23,business,Dollar Falls Amid New Tariff Threats - WSJ,,No content available,https://www.wsj.com/finance/currencies/yen-strengthens-slightly-on-signs-of-japans-inflation-picking-up-22a5f291
2025-05-23,business,"Trump Nuclear Executive Order News Sends Oklo, S&P 500 Giants Higher - Investor's Business Daily",President Trump is expected to sign orders Friday to support the nuclear energy sector.,"Information in Investors Business Daily is for informational and educational purposes only and should not be construed as an offer, recommendation, solicitation, or rating to buy or sell securities. … [+1064 chars]",https://www.investors.com/news/trump-nuclear-executive-order-nuclear-sp-500-stocks-oklo-surge/
2025-05-23,business,Fannie Mae and Freddie Mac surge on Trump post - Axios,"The president wrote that ""the time would seem to be right"" to end their conservatorship.","One of the riskiest and most speculative trades in financial markets just got a major boost by President Trump, when he announced Wednesday evening he is ""giving very serious consideration to bringin… [+2900 chars]",https://www.axios.com/2025/05/23/fannie-freddie-trump-stocks
2025-05-23,business,Personal finance app Monarch raises $75 million despite 'nuclear winter' for fintech startups - CNBC,"Monarch aims to provide an all-in-one mobile app for tracking spending, investments and money goals.","The personal finance startup Monarch has raised $75 million to accelerate subscriber growth that took off last year when budgeting tool Mint was shut down, CNBC has learned.
The fundraising is among… [+2741 chars]",https://www.cnbc.com/2025/05/23/personal-finance-app-monarch-raises-75-million.html
