Date,Category,Headline,Description,Content,URL
2025-05-23,business,AI system resorts to blackmail if told it will be removed - BBC,"In a fictional scenario, the model was willing to expose that the engineer seeking to replace it was having an affair.","Liv McMahon
Artificial intelligence (AI) firm Anthropic says testing of its new system revealed it is sometimes willing to pursue ""extremely harmful actions"" such as attempting to blackmail engineer… [+3366 chars]",https://www.bbc.com/news/articles/cpqeng9d20go
2025-05-23,business,5 Things to Know Before the Stock Market Opens - Investopedia,"U.S. stock futures are pointing lower to end the week; President Trump says Apple must pay a ""Tariff of at least 25%"" on iPhones not made in the U.S.; and Intuit stock surges on the TurboTax parent's strong results and lifted outlook. Here's what investors ne…","U.S. stock futures are pointing lower to end the week; President Trump says Apple (AAPL) must pay a ""Tariff of at least 25%"" on iPhones not made in the U.S.; Intuit (INTU) shares are jumping in prema… [+2769 chars]",https://www.investopedia.com/5-things-to-know-before-the-stock-market-opens-may-23-2025-11740613
2025-05-23,business,"Best Memorial Day Anker Deals: We Found Over 50 Discounts on Projectors, Headphones, Power Banks and More - CNET","Anker has some of its best tech products on sale ahead of Memorial Day. From earbuds and power banks to robovacs, we've found the best deals on all things Anker.","Top retailers, including Amazon and Walmart, have already started rolling out deep Memorial Day discounts ahead of the holiday. Some of the best Memorial Day deals we've seen are on products from Ank… [+1482 chars]",https://www.cnet.com/deals/best-anker-memorial-day-deals-2025-05-23/
2025-05-23,business,Walmart got an angry message from Trump on tariffs. Then Home Depot and Target downplayed them - CNN,America’s highest-profile retail chains are walking a difficult tightrope — trying to blunt the financial hit from tariffs by raising prices for consumers without angering them or President Donald Trump.,Americas highest-profile retail chains are walking a difficult tightrope trying to blunt the financial hit from tariffs by raising prices for consumers without angering them or President Donald Trump… [+7273 chars],https://www.cnn.com/2025/05/23/business/walmart-home-depot-target-tariffs-prices
2025-05-23,business,Bond market is worrying that 'something may be breaking beneath the surface' of Trump's tax bill - Fortune,"Saxo Bank’s Charu Chanana says: “The bond market is sending out distress flares.""",No content available,https://fortune.com/2025/05/23/bond-market-trump-tax-bill/
2025-05-22,business,Trump's FDA Has Axed COVID Boosters For Most People — And Medical Experts Are Deeply Worried - HuffPost,"The vaccine eligibility change is a threat to the health of Americans, some experts say, adding that the FDA is not being forthcoming about its research.","There are big eligibility changes coming for COVID-19 vaccines this fall.
Read our liveblog for the latest on Donald Trump and Robert F. Kennedys war on health care in the U.S.
Major changes are co… [+10941 chars]",https://www.huffpost.com/entry/covid-shot-recommendation-changes-medical-experts-concerns_l_682e1bfde4b0c2f07d8c81cb
2025-05-22,business,Myriad Moves: Bitcoin Price Predictions and Eyes on Coinbase Hack Bounty Prize - Decrypt,"Myriad's hottest prediction markets ask whether Bitcoin will eclipse $115K this weekend, along with Coinbase and box office guesses.","In brief
<ul><li>Bitcoin just marked a new all-time high, but Myriad users are now betting whether it'll top $115K by EOD Sunday.</li><li>Predictors don't expect Coinbase to pay out any of its $20 m… [+5657 chars]",https://decrypt.co/321630/myriad-moves-bitcoin-price-predictions-coinbase-hack-bounty
2025-05-22,business,Klarna CEO and Sutter Hill take victory lap after Jony Ive’s OpenAI deal - TechCrunch,"Hours after Sam Altman and Jony Ive announced on Wednesday that OpenAI was buying Ive’s company, io, in an all-stock transaction valued at $6.5 billion, Investors were happy about the hefty returns they got from the sale of io to OpenAI.","Hours after Sam Altman and Jony Ive announced on Wednesday that OpenAI was buying Ives company, io, in an all-stock transaction valued at $6.5 billion, Klarna CEO Sebastian Siemiatkowski posted a sur… [+1988 chars]",https://techcrunch.com/2025/05/22/klarna-ceo-and-sutter-hill-take-victory-lap-after-jony-ives-openai-deal/
2025-05-22,business,"‘Load Up on the Dip,’ Says Top Investor About UnitedHealth Stock - TipRanks","How can we put it gently? It’s been a very bad month for UnitedHealth (NYSE:UNH) investors. The company has lost nearly half its value since mid-April, following a ...",No content available,https://www.tipranks.com/news/load-up-on-the-dip-says-top-investor-about-unitedhealth-stock
2025-05-23,general,Dow falls 300 points as Trump threatens new tariffs against the EU and Apple: Live updates - CNBC,"The S&P 500 closed near the flatline on Thursday, while the Dow Jones Industrial Average and Nasdaq Composite finished the session marginally lower.","Stocks declined Friday after President Donald Trump raised trade fears again, warning Apple  and recommending stiffer duties on the European Union.
The Dow Jones Industrial Average lost 236 points, … [+2659 chars]",https://www.cnbc.com/2025/05/22/stock-market-today-live-updates.html
2025-05-23,general,Billy Joel Cancels All Concerts After Brain Disorder Diagnosis - Rolling Stone,Billy Joel has been diagnosed with the brain disorder Normal Pressure Hydrocephalus Diagnosis and has cancelled all of his upcoming concerts.,"Billy Joel is cancelling every concert on his itinerary, 17 shows in total booked at stadiums across North America and England, due to a recent diagnosis of Normal Pressure Hydrocephalus (NPH).
“Thi… [+3162 chars]",http://www.rollingstone.com/music/music-news/billy-joel-cancels-tour-normal-pressure-hydrocephalus-1235346714/
2025-05-23,general,RFK Jr.’s report had a surprise target: your doctor - Politico,The commission led by the health secretary says physicians often have the wrong prescription for America’s ills.,"Instead, the report adopts an argument popularized by Kennedy and many of his colleagues in President Donald Trumps health department during the Covid pandemic, that the medical profession is dominat… [+2950 chars]",https://www.politico.com/news/2025/05/23/rfk-kennedy-report-maha-doctor-disease-00366718
2025-05-23,general,Ukraine and Russia exchange 780 soldiers and civilians in biggest swap - BBC,They each handed over 270 servicemen and 120 civilians on the Ukrainian border with Belarus.,"Russia and Ukraine have each handed over 390 soldiers and civilians in the biggest prisoner exchange since the start of the full-scale Russian invasion in 2022.
They both returned 270 servicemen and… [+3574 chars]",https://www.bbc.com/news/articles/cy4eyjxz7eno
2025-05-23,general,Pirates GM addresses trade speculation involving ace Paul Skenes - NBC News,"The Pittsburgh Pirates are reeling, and just about everything is on the table for a last-place team that has already fired its manager and packed a half-decade's worth of public-relations missteps into two months.","PITTSBURGH The Pittsburgh Pirates are reeling, and just about everything is on the table for a last-place team that has already fired its manager and packed a half-decade's worth of public-relations … [+4583 chars]",https://www.nbcnews.com/sports/mlb/pirates-trade-paul-skenes-rcna208760
2025-05-23,general,The 5 coolest gadgets I saw at Computex 2025 (and that you can actually buy) - ZDNET,"Many new gadgets and products debuted at the world's biggest computing event, but these stood out to me the most.","Kyle Kucharski/ZDNET
Computex 2025 just kicked off, and we're on the ground in Taipei with eyes on all the latest gadgets in the computing world. Unsurprisingly, AI is everywhere, with a general the… [+7027 chars]",https://www.zdnet.com/article/the-5-coolest-gadgets-i-saw-at-computex-2025-and-that-you-can-actually-buy/
2025-05-23,general,Judge extends order blocking Trump’s mass federal worker layoffs - The Washington Post,A federal judge said the president needs to seek congressional cooperation for such widespread changes.,"A federal judge has extended her freeze on President Donald Trumps plan for mass layoffs and reorganizations at 22 federal agencies until a lawsuit against his administration is resolved, saying the … [+4383 chars]",https://www.washingtonpost.com/politics/2025/05/23/federal-workers-trump-administration-layoffs-block-extended/
2025-05-23,general,Container ship barely misses Norwegian man’s house after running aground - The Washington Post,"The bow of the 11,000-ton NCL Salten remained in the man’s backyard as authorities investigated the cause.","A man in Norway woke to find a 443-foot shipping vessel towering over his home after it ran aground into his yard.
Johan Helberg had slept through the initial impact of the NCL Salten as it sailed i… [+1870 chars]",https://www.washingtonpost.com/world/2025/05/23/norway-cargo-ship-aground-fjord-nclsalten/
2025-05-23,general,"Who is Justin Sun, the Chinese billionaire at Trump’s crypto dinner? - The Washington Post","Sun, known for his showy publicity stunts, has spent more than $20 million on the $TRUMP meme coin, making him one of its largest holders.","Justin Sun, a Chinese crypto billionaire known for showy publicity stunts he once spent$6.24 million on a banana, duct-taped to a wall made perhaps his biggest splash yet on Thursday, when he reveled… [+1712 chars]",https://www.washingtonpost.com/world/2025/05/23/trump-crypto-dinner-justin-sun/
2025-05-23,general,Stroll hit with penalty after Leclerc clash in Monaco FP1 - Formula 1,Lance Stroll has been given a one-place grid penalty following his collision with Charles Leclerc during Friday’s first practice session for the Monaco Grand Prix.,"Asked about the incident in the Team Principal's Press Conference, Aston Martin boss Andy Cowell conceded the team's communication to Stroll needed to be clearer as he explained the damage that was d… [+497 chars]",https://www.formula1.com/en/latest/article/breaking-stroll-hit-with-grid-penalty-after-leclerc-clash-in-opening-monaco.4m6D7qDxnRcIxFphvbDZxw
2025-05-23,general,Trump threatens Apple with a 25% tariff if it doesn’t build iPhones in America - CNN,President Donald Trump on Friday demanded Apple make its iPhones in the United States or face a 25% tariff.,"President Donald Trump on Friday demanded Apple make its iPhones in the United States or face a 25% tariff.
I have long ago informed Tim Cook of Apple that I expect their iPhones that will be sold i… [+6013 chars]",https://www.cnn.com/2025/05/23/economy/trump-threatens-tariff-apple
2025-05-23,general,‘Today’ Co-Host Sheinelle Jones’ Husband Uche Ojeh Dies at 45 of Brain Cancer - The Hollywood Reporter,Jones has been on leave from the NBC morning program since December.,"Uche Ojeh, the husband of NBCToday co-anchor Sheinelle Jones, has died at age 45 after battling an aggressive form of brain cancer.
The news was announced on the NBC morning show Friday.
“With prof… [+1789 chars]",http://www.hollywoodreporter.com/tv/tv-news/today-sheinelle-jones-husband-uche-ojeh-dies-brain-cancer-1236228149/
2025-05-23,general,I Prosecuted R. Kelly. The Sean Combs Allegations Fit the Same Script - Rolling Stone,"The federal prosecutor who prosecuted R. Kelly writes how Sean ""Diddy"" Combs ""fits the same script.""",The ongoing Sean Combs trial has captivated the nation with its lurid tales of his now-infamous “freak-offs.” But behind the salaciousness is an important point about the critical role that domestic … [+4544 chars],http://www.rollingstone.com/music/music-features/sean-diddy-combs-cassie-trial-r-kelly-1235345968/
2025-05-23,general,Lake Como’s Serie A Rise Has Its Club Dreaming of Becoming a Sports Disneyland - Sports Illustrated,"Celebrity fans. Match tickets with VIP boat tours. This is Como 1907, where innovative owners strive to create a premier soccer destination.","On the shores of Lake Como, where legends ebb, fables flow.
In the eventide of World War II, Benito Mussolini was captured by Italian resistance fighters in the lakeside village of Dongo as he fled … [+30158 chars]",https://www.si.com/soccer/lake-como-1907-serie-a-rise-sports-disneyland-fabregas
2025-05-23,general,Capitol agenda: Megabill heads toward a Senate buzzsaw - Politico,"The GOP's ""big, beautiful bill"" could be in for a major rewrite.",No content available,https://www.politico.com/live-updates/2025/05/23/congress/republican-megabill-medicaid-energy-spending-tax-cuts-00367023
2025-05-23,general,Bond market is worrying that 'something may be breaking beneath the surface' of Trump's tax bill - Fortune,"Saxo Bank’s Charu Chanana says: “The bond market is sending out distress flares.""",No content available,https://fortune.com/2025/05/23/bond-market-trump-tax-bill/
2025-05-23,technology,"Vestaboard’s Note is a smaller, cheaper version of its hypnotic split-flap display - The Verge","Available for preorder now at a discount, the smaller Vestaboard Note swaps pixels for mechanical split-flap mechanisms.","The Vestaboard Note can display 45 characters, forcing you to be more concise with your inspirational messages.
The Vestaboard Note can display 45 characters, forcing you to be more concise with you… [+1904 chars]",https://www.theverge.com/news/673559/vestaboard-note-split-flap-mechanical-display
2025-05-23,technology,Fantasy Life i Is Proving So Popular That Level-5 Has Already Announced Free DLC - Nintendo Life,"""We would like to express our deepest gratitude to everyone""","Image: Level-5
Fantasy Life i: The Girl Who Steals Time has completely consumed many people's free time over the past week. The game officially launched on Switch on 21st May, but with an early acce… [+1389 chars]",https://www.nintendolife.com/news/2025/05/fantasy-life-i-is-proving-so-popular-that-level-5-has-already-announced-free-dlc
2025-05-23,technology,Pokémon GO Ancients Recovered Event Guide - Pokémon GO Hub,"Before Pokémon GO Fest: Global, a free-to-play raid event called Ancients Recovered will occur. Ancients Recovered brings back all of the ""Regi"" Pokémon with featured attacks and shinies via raids. Date & Time 📅 Bonuses ⭐ The following bonuses will be active…","Before Pokémon GO Fest: Global, a free-to-play raid event called Ancients Recovered will occur. Ancients Recovered brings back all of the “Regi” Pokémon with featured attacks and shinies via raids.
… [+3596 chars]",https://pokemongohub.net/post/event/ancients-recovered/
2025-05-23,technology,Sony made its shooting grip better for creators working without a crew - The Verge,Sony’s new GP-VPT3 Multi-Function Shooting Grip adds a removable wireless remote that can control cameras from over 30 feet away.,"The upgraded GP-VPT3 puts its wireless camera controls on a removable Bluetooth remote.
The upgraded GP-VPT3 puts its wireless camera controls on a removable Bluetooth remote.
Sony announced a new … [+1816 chars]",https://www.theverge.com/news/673508/sony-gpvpt3-multi-function-shooting-grip-camera-alpha-series-vlogging
2025-05-23,technology,Skyrim-style open world RPG Tainted Grail: The Fall Of Avalon releases out of early access today - Rock Paper Shotgun,"If you're in the mood for a sprawling dark fantasy open world RPG, this may fit the bill.","If you are in the mood to play Skyrim or the recent Oblivion remaster, but you don't want to play a Microsoft-backed game for, oh, any numberofreasons, the word on the grapevine is that open worldRPG… [+3057 chars]",https://www.rockpapershotgun.com/if-you-fancy-an-elder-scroll-open-world-rpg-tainted-grail-the-fall-of-avalon-hits-10-release-today
2025-05-23,technology,"Dragon Quest III HD-2D Remake New Update Increases Flight Speed, Here Are The Patch Notes - Nintendo Life",Fly high,"Image: Square Enix
Square Enix has released a patch for its gorgeous Dragon Quest III HD-2D Remake today, and it's live to download on Switch right now. (Thanks, RPG Site!)
The patch, detailed on S… [+3962 chars]",https://www.nintendolife.com/news/2025/05/dragon-quest-iii-hd-2d-remake-new-update-increases-flight-speed-here-are-the-patch-notes
2025-05-23,technology,Nintendo Switch Online gets four more Game Boy classics - Eurogamer,Nintendo has added four more games to its Game Boy Classics library for Switch Online members.,"While Switch 2 may have dominated Nintendo headlines in recent weeks, we still have some Game Boy-flavoured news for Nintendo Switch Online.
Nintendo has added four more games to its Game Boy Classi… [+1338 chars]",https://www.eurogamer.net/nintendo-switch-online-gets-four-more-game-boy-classics
2025-05-23,technology,Elden Ring Nightreign could receive two player mode post-launch - Eurogamer,"Elden Ring Nightreign's director has apologised for the lack of two player mode in the multiplayer spin-off, but is considering adding it post-launch.","Elden Ring Nightreign's director has apologised for the lack of two player mode in the multiplayer spin-off, but is considering adding it post-launch.
The co-operative game is designed for three pla… [+2524 chars]",https://www.eurogamer.net/elden-ring-nightreign-could-receive-two-player-mode-post-launch
2025-05-23,technology,The Influencer Inspiring Girls to Eat As Little As Possible - The Cut,"In Liv Schmidt’s subscriber-only group chat, her followers — some of them in high school — encourage one another to achieve their weight-loss goals.","This article was featured in One Great Story, New Yorks reading recommendation newsletter. Sign up here to get it nightly.
Last year, Emma, a 37-year-old teacher, broke up with her boyfriend. He had… [+17686 chars]",http://www.thecut.com/article/influencer-liv-schmidt-subscriber-group-chat-weight-loss.html
2025-05-23,technology,Grab this Xbox Retro Classics achievement before it gets super hard - TrueAchievements,Don't wait too long before unlocking that Xbox Retro Classics' leaderboard achievement — it could get insanely hard to unlock within a matter of days.,"If you've thinking about checking out Xbox Game Pass' new Retro Classics collection for the achievements, you might not want to leave it too long. There's a pernicious Xbox Retro Classics leaderboard… [+2157 chars]",https://www.trueachievements.com/news/xbox-retro-classics-leaderboard-achievement
2025-05-23,technology,"Metal Gear Solid Delta: Snake Eater has revised iconic Bond-theme opening, removing Kojima - Eurogamer","Konami has released the intro video for Metal Gear Solid Delta: Snake Eater, a remake of the iconic Bond-theme opening from the original game.","Konami has released the intro video for Metal Gear Solid Delta: Snake Eater, a remake of the iconic Bond-theme opening from the original game.
Singer Cynthia Harrell has re-recorded the theme song S… [+1450 chars]",https://www.eurogamer.net/metal-gear-solid-delta-snake-eater-has-revised-iconic-bond-theme-opening-removing-kojima
2025-05-23,technology,"184,162,718 Passwords And Logins Leaked — Apple, Facebook, Snapchat - Forbes",Millions of plaintext passwords and login credentials from some of the biggest platforms have been found in an unprotected public database online.,"Millions of plaintext passwords found in public database online.
getty
I seem to have spent a disproportionate amount of my time recently investigating, analyzing and reporting on stolen credential… [+2757 chars]",https://www.forbes.com/sites/daveywinder/2025/05/23/184162718-passwords-and-logins-leaked---apple-facebook-snapchat/
2025-05-23,technology,Microsoft CPO says she 'fundamentally' disagrees with the idea that people shouldn't study computer science - Business Insider,"The Microsoft CPO says it's possible software engineers will be viewed as ""software operators"" in the future, but the role is unlikely to disappear.","Microsoft's CPO Aparna Chennapragada doesn't buy the idea that coding is on its way out.
""A lot of folks think about, 'Oh, don't bother studying computer science or the coding is dead,' and I just f… [+3019 chars]",https://www.businessinsider.com/microsoft-cpo-computer-science-degree-coding-important-skills-project-managers-2025-5
2025-05-23,technology,"AMD defends RX 9060 XT 8GB, says majority of gamers have no use for more VRAM - VideoCardz.com","AMD says they wouldn’t make 8GB if it wasn’t needed The Radeon RX 480 launched nine years ago with 8GB of memory priced at $229. Few would have guessed that nearly a decade later, 8GB models would not only persist but become even more expensive. AMD’s new Rad…","The Radeon RX 480 launched nine years ago with 8GB of memory priced at $229. Few would have guessed that nearly a decade later, 8GB models would not only persist but become even more expensive. AMDs … [+2244 chars]",https://videocardz.com/newz/amd-defends-rx-9060-xt-8gb-says-majority-of-gamers-have-no-use-for-more-vram
2025-05-23,technology,"Here are the 6 biggest takeaways from Google I/O, where the tech giant proved it has real AI momentum - Business Insider","Google I/O highlights include 100 AI updates, with Gemini challenging ChatGPT and a 'total overhaul' of Search.","Google made literally 100 announcements at I/O this week, a clear sign that the tech giant intends to dominate every aspect of AI, from its overhaul of Search to its latest AI models and wearables te… [+6098 chars]",https://www.businessinsider.com/google-io-highlights-search-giant-ai-momentum-100-updates-2025-5
2025-05-23,technology,FTC finally drops appeal against Microsoft's acquisition of Activision Blizzard - Eurogamer,The FTC officially drops its case against Microsoft's historic acquisition of Activision Blizzard.,"Microsoft may have sealed the deal to acquire Activision Blizzard all the way back in 2023 for $68.7bn, making history as the biggest company buyout in the video games industry to date, but only now … [+1748 chars]",https://www.eurogamer.net/ftc-finally-drops-appeal-against-microsofts-acquisition-of-activision-blizzard
2025-05-23,technology,Xiaomi's latest in-house chipset is designed to take on Qualcomm and MediaTek - Android Central,Xiaomi's Xring O1 chipset includes 10 cores and is built on a 3nm node.,"(Image credit: Nicholas Sutrich / Android Central)
In Hardwired, AC Senior Editor Harish Jonnalagadda delves into all things hardware, including phones, audio products, storage servers, and networki… [+4955 chars]",https://www.androidcentral.com/phones/xiaomi/xiaomi-made-an-in-house-flagship-chipset-to-rival-qualcomm-and-mediatek
2025-05-22,technology,"Valve’s huge Steam Deck update is now ready for everyone, including rival AMD handhelds - The Verge","SteamOS 3.7.8 adds official support for the Lenovo Legion Go S, and an official “recovery” image to install SteamOS on handhelds like ROG Ally and Legion Go.","Brand-new features and an installation process for Legion Go and ROG Ally.
Brand-new features and an installation process for Legion Go and ROG Ally.
Valve has been building up to this for months, … [+2540 chars]",https://www.theverge.com/news/673114/valves-huge-steam-deck-update-is-now-ready-for-everyone-including-rival-amd-handhelds
2025-05-22,technology,"Asus ProArt P16 launches with OLED touchscreen, up to 64GB RAM and RTX 5070 - Notebookcheck","Asus is in the process of launching the ProArt P16, a sleek laptop with a 120Hz OLED display, an Nvidia GeForce RTX 5070 Laptop GPU and an SD Express card reader. It's now available for purchase in some European countries including Germany, where a more affor…","Despite its high performance, the ProArt P16 is relatively thin and measures 0.59 inches at its thinnest and 0.68 inches at its thickest point. It also weighs 4.08 lbs. Thanks to a 90Wh battery and e… [+788 chars]",https://www.notebookcheck.net/Asus-ProArt-P16-launches-with-OLED-touchscreen-up-to-64GB-RAM-and-RTX-5070.1022852.0.html
2025-05-22,technology,45 Practical Things Worth Buying From Memorial Day Sales - BuzzFeed,I bet you can't make it through this list without finding something you can use every day. *And* you got it for a deal at that.,No content available,https://www.buzzfeed.com/amberusher/practical-things-worth-buying-from-memorial-day-sales
